,name,faction,loyalty,text,traits,card type,image name,cost,command,attack,health,shields,sector,cycle,war pack,keywords,green,blue,red,resources,cards,useful_quantities
0,Plannum,,,Battle Ability: Move a non-warlord unit you control to a planet of your choice.,,Planet,Plannum,-1,-1,-1,-1,0,Traxis,Core Set,Core Set,Unique.,True,True,False,1,1,1
1,Atrox Prime,,,Battle: Deal 1 damage to each enemy unit at a target HQ or adjacent planet.,,Planet,Atrox_Prime,-1,-1,-1,-1,0,Traxis,Core Set,Core Set,Unique.,False,True,True,1,1,1
2,Barlus,,,Battle: Discard 1 card at random from your opponent's hand.,,Planet,Barlus,-1,-1,-1,-1,0,Traxis,Core Set,Core Set,Unique.,True,False,False,0,2,1
3,Elouith,,,"Battle: Search the top 3 cards of your deck for a card. Add it to your hand, and place the remaining cards on the bottom of your deck in any order.",,Planet,Elouith,-1,-1,-1,-1,0,Traxis,Core Set,Core Set,Unique.,False,True,False,0,2,1
4,Carnath,,,Battle: Trigger the Battle ability of another planet in play,,Planet,Carnath,-1,-1,-1,-1,0,Traxis,Core Set,Core Set,Unique.,False,True,True,1,1,1
5,Tarrus,,,"Battle: If you control fewer units than your opponent, gain 3 resources or draw 3 cards.",,Planet,Tarrus,-1,-1,-1,-1,0,Traxis,Core Set,Core Set,Unique.,True,False,True,1,1,1
6,Osus IV,,,Battle: Take 1 resource from your opponent.,,Planet,Osus_IV,-1,-1,-1,-1,0,Traxis,Core Set,Core Set,Unique.,True,False,False,2,0,1
7,Ferrin,,,Battle: Rout a target non-warlord unit.,,Planet,Ferrin,-1,-1,-1,-1,0,Traxis,Core Set,Core Set,Unique.,False,False,True,2,0,1
8,Y'varn,,,Battle: Each player puts a unit into play from his hand at his HQ.,,Planet,Y'varn,-1,-1,-1,-1,0,Traxis,Core Set,Core Set,Unique.,True,True,True,1,0,1
9,Iridial,,,Battle: Remove all damage from a target unit.,,Planet,Iridial,-1,-1,-1,-1,0,Traxis,Core Set,Core Set,Unique.,True,True,True,0,1,1
10,Anshan,,,"Battle: Rally 6 a unit with printed cost 3 or lower, put it into play at this planet.",,Planet,Anshan,-1,-1,-1,-1,0,Gardis,Confrontation,Confrontation,Unique.,False,True,True,1,1,1
11,Beckel,,,"Battle: Name a card. Look at your opponent's hand. If there is a card by that name, gain 1 resource.",,Planet,Beckel,-1,-1,-1,-1,0,Gardis,Confrontation,Confrontation,Unique.,True,True,True,0,1,1
